dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,20,"You see someone put ketchup on vanilla ice cream, and eat it. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,169.5777872,,,,,,,,,,,,,,,,,,,,,,,169.5557862,169.5777872,169.5777872,169.5777872,176.021142,4,6.442162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,21,You see a man with his intestines exposed after an accident. ,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,176.0408356,,,,,,,,,,,,,,,,,,,,,,,176.0213584,176.0408356,176.0408356,176.0408356,188.1697312,3,12.1266979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,22,You discover that a friend of yours changes underwear only once a week. ,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,188.1903777,,,,,,,,,,,,,,,,,,,,,,,188.1699489,188.1903777,188.1903777,188.1903777,192.3693195,4,4.1775586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,23,A friend offers you a piece of chocolate shaped like dog doo. ,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,192.3909111,,,,,,,,,,,,,,,,,,,,,,,192.3695378,192.3909111,192.3909111,192.3909111,197.7518465,0,5.3592162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,24,You accidentally touch the ashes of a person who has been cremated. ,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,197.771829,,,,,,,,,,,,,,,,,,,,,,,197.7520655,197.771829,197.771829,197.771829,205.3175607,0,7.5440337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,25,You are about to drink a glass of milk when you smell that it is spoiled. ,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,205.3380195,,,,,,,,,,,,,,,,,,,,,,,205.3177777,205.3380195,205.3380195,205.3380195,210.7003716,3,5.3607406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,26,"As part of a sex education class, you are required to inflate a new unlubricated
		condom, using your mouth. ",,,,,,,,,,0,11,11,11,,,,,,,,,,,,,210.7214678,,,,,,,,,,,,,,,,,,,,,,,210.7005904,210.7214678,210.7214678,210.7214678,217.1162317,0,6.3930073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,27,"You are walking barefoot on concrete, and you step on an earthworm. ",,,,,,,,,,0,12,12,12,,,,,,,,,,,,,217.1361601,,,,,,,,,,,,,,,,,,,,,,,217.1164564,217.1361601,217.1361601,217.1361601,221.7492248,0,4.610767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,15-7,8,,,,,,,,,,,,0,0,0,0,,,,,,,,,221.7686019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.7539502,221.7686019,221.7686019,221.7686019,238.1123667,8,1,[16.352710700011812],[16.3527172000031],,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,5*7,35,,,,,,,,,,,,0,1,1,1,,,,,,,,,238.1276356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.1128316,238.1276356,238.1276356,238.1276356,240.6630271,35,1,[2.546016000007512],[2.546022800001083],,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
