dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,20,"You see someone put ketchup on vanilla ice cream, and eat it. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,187.1185628,,,,,,,,,,,,,,,,,,,,,,,187.092119,187.1185628,187.1185628,187.1185628,191.1569534,4,4.039337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,21,You see a man with his intestines exposed after an accident. ,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,191.1814218,,,,,,,,,,,,,,,,,,,,,,,191.157227,191.1814218,191.1814218,191.1814218,194.2224221,4,3.0411712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,22,You discover that a friend of yours changes underwear only once a week. ,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,194.247671,,,,,,,,,,,,,,,,,,,,,,,194.2227594,194.247671,194.247671,194.247671,212.1862675,4,17.9388924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,23,A friend offers you a piece of chocolate shaped like dog doo. ,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,212.2145373,,,,,,,,,,,,,,,,,,,,,,,212.1865613,212.2145373,212.2145373,212.2145373,230.5470595,3,18.3341856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,24,You accidentally touch the ashes of a person who has been cremated. ,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,230.5726618,,,,,,,,,,,,,,,,,,,,,,,230.5473348,230.5726618,230.5726618,230.5726618,233.6955754,0,3.1237391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,25,You are about to drink a glass of milk when you smell that it is spoiled. ,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,233.720669,,,,,,,,,,,,,,,,,,,,,,,233.695865,233.720669,233.720669,233.720669,238.9401493,1,5.2190445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,26,"As part of a sex education class, you are required to inflate a new unlubricated
		condom, using your mouth. ",,,,,,,,,,0,11,11,11,,,,,,,,,,,,,238.9667126,,,,,,,,,,,,,,,,,,,,,,,238.9404212,238.9667126,238.9667126,238.9667126,246.9835043,1,8.0175017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,27,"You are walking barefoot on concrete, and you step on an earthworm. ",,,,,,,,,,0,12,12,12,,,,,,,,,,,,,247.0104572,,,,,,,,,,,,,,,,,,,,,,,246.9837986,247.0104572,247.0104572,247.0104572,281.7897405,4,34.7807239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,15-7,8,,,,,,,,,,,,0,0,0,0,,,,,,,,,281.811497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.7949802,281.811497,281.811497,281.811497,290.1591702,8,1,[8.358386499981862],[8.358392899972387],,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,5*7,35,,,,,,,,,,,,0,1,1,1,,,,,,,,,290.1747318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.1598149,290.1747318,290.1747318,290.1747318,297.3254286,"35
",1,[7.161154700006591],[7.161161800002446],,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,42/7,6,,,,,,,,,,,,0,2,2,2,,,,,,,,,297.3423128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.3258505,297.3423128,297.3423128,297.3423128,302.7078881,6,1,[5.376028700004099],[5.376037800015183],,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,51-17,34,,,,,,,,,,,,0,3,3,3,,,,,,,,,302.7232939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.708392,302.7232939,302.7232939,302.7232939,321.8723267,34,1,[19.16090659998008],[19.160950399993453],,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,19*8,152,,,,,,,,,,,,0,4,4,4,,,,,,,,,321.8904569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.8728072,321.8904569,321.8904569,321.8904569,336.5539039,152,1,[14.67551060000551],[14.675520799995866],,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,6* (25+3),168,,,,,,,,,,,,0,5,5,5,,,,,,,,,336.57164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.5544369,336.57164,336.57164,336.57164,362.4839263,168,1,[25.922638999996707],[25.922663300007116],,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,images/1118_body products.png,,,,,,,,,,,,,,,0,0,0,3,,,,,362.5208186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.4890606,362.5208186,363.5134991,363.519421,370.5018742,373.5142059,380.4356165,2.025925926,17.9053585,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,images/1253_hygiene.png,,,,,,,,,,,,,,,0,1,1,8,,,,,380.4667792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.4359659,380.4667792,381.4475887,381.4804102,388.4457644,391.4616763,392.4168829,1.037037037,11.9406674,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
