dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,text_5.stopped,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,20,"You see someone put ketchup on vanilla ice cream, and eat it. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,146.06289099997957,,,,,,,,,,,,,,,,,,,,,,,146.04088119999506,146.06289099997957,146.06289099997957,146.06289099997957,149.97203189998982,4.0,3.9082783999911044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,21,You see a man with his intestines exposed after an accident. ,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,149.99464550000266,,,,,,,,,,,,,,,,,,,,,,,149.97227860000567,149.99464550000266,149.99464550000266,149.99464550000266,197.93265030000475,1.0,47.93734730000142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,22,You discover that a friend of yours changes underwear only once a week. ,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,197.95641169999726,,,,,,,,,,,,,,,,,,,,,,,197.93292540000402,197.95641169999726,197.95641169999726,197.95641169999726,203.2815183000057,3.0,5.3257227999856696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,23,A friend offers you a piece of chocolate shaped like dog doo. ,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,203.30609279999044,,,,,,,,,,,,,,,,,,,,,,,203.2817575999943,203.30609279999044,203.30609279999044,203.30609279999044,207.93230069999117,0.0,4.626261700002942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,24,You accidentally touch the ashes of a person who has been cremated. ,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,207.95528219998232,,,,,,,,,,,,,,,,,,,,,,,207.9325733000005,207.95528219998232,207.95528219998232,207.95528219998232,211.98162209999282,0.0,4.025831400009338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,25,You are about to drink a glass of milk when you smell that it is spoiled. ,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,212.01172690000385,,,,,,,,,,,,,,,,,,,,,,,211.98190119999344,212.01172690000385,212.01172690000385,212.01172690000385,215.41589599999133,4.0,3.406708199996501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,26,"As part of a sex education class, you are required to inflate a new unlubricated
		condom, using your mouth. ",,,,,,,,,,0,11,11,11,,,,,,,,,,,,,215.43928839999717,,,,,,,,,,,,,,,,,,,,,,,215.41612749997876,215.43928839999717,215.43928839999717,215.43928839999717,226.01146069998504,0.0,10.57257680001203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,27,"You are walking barefoot on concrete, and you step on an earthworm. ",,,,,,,,,,0,12,12,12,,,,,,,,,,,,,226.0342229999951,,,,,,,,,,,,,,,,,,,,,,,226.01170699999784,226.0342229999951,226.0342229999951,226.0342229999951,231.06131299998378,3.0,5.027330300014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,15-7,8,,,,,,,,,,,,0,0,0,0,,,,,,,,,231.0886704000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.06557219999377,231.0886704000004,231.0886704000004,231.0886704000004,244.8243131999916,8,1,[13.753152899997076],[13.753159399988363],,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,5*7,35,,,,,,,,,,,,0,1,1,1,,,,,,,,,244.8397699999914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.8248503000068,244.8397699999914,244.8397699999914,244.8397699999914,248.65767109999433,35,1,[3.8287399999971967],[3.8287461000145413],,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
