dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,19,"Your friend's pet cat dies, and you have to pick up the dead body with your bare hands.  ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,150.45734519997495,,,,,,,,,,,,,,,,,,,,,,,150.438723499974,150.45734519997495,150.45734519997495,150.45734519997495,158.5873718999792,3.0,8.12618309998652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,20,"You see someone put ketchup on vanilla ice cream, and eat it. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,158.60578509999323,,,,,,,,,,,,,,,,,,,,,,,158.5875878999941,158.60578509999323,158.60578509999323,158.60578509999323,164.35361609997926,3.0,5.74385309999343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,21,You see a man with his intestines exposed after an accident. ,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,164.37151559998165,,,,,,,,,,,,,,,,,,,,,,,164.35384309999063,164.37151559998165,164.37151559998165,164.37151559998165,169.96945159998722,4.0,5.594075800006976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,22,You discover that a friend of yours changes underwear only once a week. ,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,169.98797109999578,,,,,,,,,,,,,,,,,,,,,,,169.9696733999881,169.98797109999578,169.98797109999578,169.98797109999578,177.13499969997793,2.0,7.143708699994022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,23,A friend offers you a piece of chocolate shaped like dog doo. ,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,177.1546605999756,,,,,,,,,,,,,,,,,,,,,,,177.1352235999948,177.1546605999756,177.1546605999756,177.1546605999756,183.4675647999975,1.0,6.309551599988481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,24,You accidentally touch the ashes of a person who has been cremated. ,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,183.4862178999756,,,,,,,,,,,,,,,,,,,,,,,183.46777969997493,183.4862178999756,183.4862178999756,183.4862178999756,187.5171925999748,0.0,4.027734999981476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,25,You are about to drink a glass of milk when you smell that it is spoiled. ,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,187.5356076999742,,,,,,,,,,,,,,,,,,,,,,,187.51741189998575,187.5356076999742,187.5356076999742,187.5356076999742,194.53296759998193,2.0,6.993567400000757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,26,"As part of a sex education class, you are required to inflate a new unlubricated
		condom, using your mouth. ",,,,,,,,,,0,11,11,11,,,,,,,,,,,,,194.55205749999732,,,,,,,,,,,,,,,,,,,,,,,194.53319209997426,194.55205749999732,194.55205749999732,194.55205749999732,204.29845679999562,1.0,9.742581200000132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,27,"You are walking barefoot on concrete, and you step on an earthworm. ",,,,,,,,,,0,12,12,12,,,,,,,,,,,,,204.31646459997864,,,,,,,,,,,,,,,,,,,,,,,204.29867979997653,204.31646459997864,204.31646459997864,204.31646459997864,213.36399829998845,2.0,9.043790600000648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,15-7,8,,,,,,,,,,,,0,0,0,0,,,,,,,,,213.3849984999979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.36806969999452,213.3849984999979,213.3849984999979,213.3849984999979,222.26297399998293,8,1,[8.890343399980338],[8.890350399975432],,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,5*7,35,,,,,,,,,,,,0,1,1,1,,,,,,,,,222.2768438999774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.26344269997207,222.2768438999774,222.2768438999774,222.2768438999774,225.77826389999245,35,1,[3.510602700000163],[3.5106091999914497],,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,42/7,6,,,,,,,,,,,,0,2,2,2,,,,,,,,,225.7931223999767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.77861369997845,225.7931223999767,225.7931223999767,225.7931223999767,230.52814519999083,6,1,[4.744493200007128],[4.744498900021426],,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,51-17,34,,,,,,,,,,,,0,3,3,3,,,,,,,,,230.5425084999879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.52849059997243,230.5425084999879,230.5425084999879,230.5425084999879,239.29361289998633,34,1,[8.762728200003039],[8.76274549998925],,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,19*8,152,,,,,,,,,,,,0,4,4,4,,,,,,,,,239.3079383999866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.29395289998502,239.3079383999866,239.3079383999866,239.3079383999866,247.92475989999366,152,1,[8.626083599985577],[8.626089099998353],,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,6* (25+3),168,,,,,,,,,,,,0,5,5,5,,,,,,,,,247.94015619999846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.92510459999903,247.94015619999846,247.94015619999846,247.94015619999846,276.6557534999738,168,1,[28.72514160000719],[28.725147199991625],,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,images/1253_hygiene.png,,,,,,,,,,,,,,,0,0,0,8,,,,,277.01517359999707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.7797205999959,277.01517359999707,277.67551509998157,278.0201893999765,284.66898849999416,287.68498609997914,291.62056369998027,1.988888888888889,14.593765300000086,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,images/1182_injuries_infections.png,,,,,,,,,,,,,,,0,1,1,5,,,,,291.8022166999872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.6208499999775,291.8022166999872,292.6351676999766,292.8016549999884,299.6336519999895,,302.21915399999125,3.011111111111111,10.404956000013044,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,images/1118_body products.png,,,,,,,,,,,,,,,0,2,2,3,,,,,302.37051169999177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.21936540000024,302.37051169999177,303.23391509999055,303.3835086999752,310.232319999981,,312.6344230999821,1.0888888888888888,10.251843499980168,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,images/1033_food.png,,,,,,,,,,,,,,,0,3,3,0,,,,,312.7946698999731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.6346320999728,312.7946698999731,313.6490400999901,313.7986477999948,320.6476475999807,323.66377909999574,324.43285990000004,1,11.625826200004667,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,images/1110_body products.png,,,,,,,,,,,,,,,0,4,4,2,,,,,324.5606112999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.43307049997384,324.5606112999958,325.4477364999766,325.56406539998716,332.44599979999475,,333.7985020999913,1,9.225756699976046,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,images/1034_food.png,,,,,,,,,,,,,,,0,5,5,1,,,,,334.0529513999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.798713199998,334.0529513999936,334.81312989999424,335.0628518999729,341.8113745999872,,343.0807554999774,1.0518518518518518,9.015600199985784,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,images/1171_injuries_infections.png,,,,,,,,,,,,,,,0,6,6,4,,,,,343.2898197999748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.08097219999763,343.2898197999748,344.09535479999613,344.29494429999613,351.09379509999417,,352.82943999997224,1.951851851851852,9.527406100009102,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,images/1201_death.png,,,,,,,,,,,,,,,0,7,7,6,,,,,352.9754833999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.8296530999942,352.9754833999905,353.84410689998185,353.9770318999945,360.8423034999869,,362.4946417999745,1.037037037037037,9.507140299974708,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,images/1218_death.png,,,,,,,,,,,,,,,0,8,8,7,,,,,362.5988238999853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.49486079998314,362.5988238999853,363.5095102999767,363.6091795999964,370.50781439998536,373.5242139999755,374.5766230999725,1.0740740740740742,11.965373199986061,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.57676909997826,374.59095659997547,374.59095659997547,380.3909996000002,1,[5.813315400009742],[5.81332200000179],,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,,1R,The government should pass a Constitutional amendment that would make it illegal to discriminate against anyone in any situation based on sexual orientation.,,,,,,,,,,,,,,,,,0,0,0,0,380.4235623999848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.3973805999849,380.4235623999848,380.4235623999848,380.62568859997555,3.0,0.2025236000190489,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,,2R,"The national government should establish a centrally funded medical program so that all persons, regardless of means, have access to medical care.",,,,,,,,,,,,,,,,,0,1,1,1,380.6459111000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.62598149999394,380.6459111000004,380.6459111000004,400.3567009999824,2.0,19.706538500002353,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,,3,It should be legal and constitutional to say a prayer at the beginning of assemblies in public schools.,,,,,,,,,,,,,,,,,0,2,2,2,400.37539000000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.3569289999723,400.37539000000106,400.37539000000106,414.2881173999922,3.0,13.908218099997612,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,,4R,Persons should be allowed to join and serve in the military regardless of their sexual preference as long as their behavior meets strict military standards.,,,,,,,,,,,,,,,,,0,3,3,3,414.3080610999896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.28834289999213,414.3080610999896,414.3080610999896,427.02000199997565,2.0,12.707382499997038,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,,5R,A person should be able to use and grow small quantities of marijuana in the privacy of his or her own home with no legal consequences.,,,,,,,,,,,,,,,,,0,4,4,4,427.0399151999736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.0202313999762,427.0399151999736,427.0399151999736,435.6185773999896,1.0,8.574473699991358,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,,6,"Persons receiving the death penalty should be limited in their number of appeals, and the death sentence should be carried out in a shorter time period than it is now.",,,,,,,,,,,,,,,,,0,5,5,5,435.63839899998857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.61880309999106,435.63839899998857,435.63839899998857,448.80038529998274,4.0,13.15756700001657,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
