dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,text_5.stopped,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,19,"Your friend's pet cat dies, and you have to pick up the dead body with your bare hands.  ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,191.47402379999403,,,,,,,,,,,,,,,,,,,,,,,191.4486559999932,191.47402379999403,191.47402379999403,191.47402379999403,197.61787709998316,3.0,6.143865099991672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,20,"You see someone put ketchup on vanilla ice cream, and eat it. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,197.6433044000005,,,,,,,,,,,,,,,,,,,,,,,197.618175599986,197.6433044000005,197.6433044000005,197.6433044000005,203.50842379999813,0.0,5.866804199991748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,21,You see a man with his intestines exposed after an accident. ,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,203.53300110000418,,,,,,,,,,,,,,,,,,,,,,,203.50867989999824,203.53300110000418,203.53300110000418,203.53300110000418,208.90893330000108,4.0,5.376699600019492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,22,You discover that a friend of yours changes underwear only once a week. ,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,208.93418169999495,,,,,,,,,,,,,,,,,,,,,,,208.90923849999672,208.93418169999495,208.93418169999495,208.93418169999495,214.41072869999334,4.0,5.476774900016608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,23,A friend offers you a piece of chocolate shaped like dog doo. ,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,214.43770759998006,,,,,,,,,,,,,,,,,,,,,,,214.41099449998,214.43770759998006,214.43770759998006,214.43770759998006,220.10903249998228,0.0,5.671392999996897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,24,You accidentally touch the ashes of a person who has been cremated. ,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,220.13497679997818,,,,,,,,,,,,,,,,,,,,,,,220.10930709997774,220.13497679997818,220.13497679997818,220.13497679997818,223.9384199999913,3.0,3.804381800000556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,25,You are about to drink a glass of milk when you smell that it is spoiled. ,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,223.96525449998444,,,,,,,,,,,,,,,,,,,,,,,223.9387022999872,223.96525449998444,223.96525449998444,223.96525449998444,230.96870870000566,2.0,7.005354299995815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,26,"As part of a sex education class, you are required to inflate a new unlubricated
		condom, using your mouth. ",,,,,,,,,,0,11,11,11,,,,,,,,,,,,,230.99453789999825,,,,,,,,,,,,,,,,,,,,,,,230.96897359998547,230.99453789999825,230.99453789999825,230.99453789999825,243.6340649999911,0.0,12.640104099991731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,27,"You are walking barefoot on concrete, and you step on an earthworm. ",,,,,,,,,,0,12,12,12,,,,,,,,,,,,,243.65913439998985,,,,,,,,,,,,,,,,,,,,,,,243.63433129998157,243.65913439998985,243.65913439998985,243.65913439998985,251.2160069999809,4.0,7.55792280001333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,15-7,8,,,,,,,,,,,,0,0,0,0,,,,,,,,,251.24553990000277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.22074590000557,251.24553990000277,251.24553990000277,251.24553990000277,259.30016019998584,8,1,[8.07341060001636],[8.073418699990725],,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,5*7,35,,,,,,,,,,,,0,1,1,1,,,,,,,,,259.3192206999811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.3008848000027,259.3192206999811,259.3192206999811,259.3192206999811,265.6494468000019,35,1,[6.343801099981647],[6.3438095999881625],,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
